date,country,category,device_type,forecast,share
2021-01-01,Austria,Electronics,PC,8093.767838168116,0.001863149617063829
2021-01-01,Austria,Games,PC,22032.27232118401,0.0050717318014338805
2021-01-01,Belgium,Accessories,PC,0.0,0.0
2021-01-01,Belgium,Appliances,Mobile,0.0,0.0
2021-01-01,Belgium,Clothing,Mobile,0.0,0.0
2021-01-01,Belgium,Games,PC,0.0,0.0
2021-01-01,Belgium,Smartphones,PC,19468.046709808903,0.0044814583884297205
2021-01-01,Bulgaria,Accessories,PC,15677.664403145822,0.003608929118454613
2021-01-01,Bulgaria,Appliances,Mobile,0.0,0.0
2021-01-01,Bulgaria,Appliances,PC,0.0,0.0
2021-01-01,Bulgaria,Appliances,Unknown,0.0,0.0
2021-01-01,Bulgaria,Beauty,PC,0.0,0.0
2021-01-01,Bulgaria,Books,PC,40778.26080575007,0.009386975574772359
2021-01-01,Bulgaria,Books,Tablet,0.0,0.0
2021-01-01,Bulgaria,Clothing,Mobile,0.0,0.0
2021-01-01,Bulgaria,Clothing,PC,25235.30517588986,0.0058090558211006905
2021-01-01,Bulgaria,Electronics,Mobile,23663.474168882123,0.005447227263950188
2021-01-01,Bulgaria,Electronics,PC,19740.897204902576,0.004544267367586765
2021-01-01,Bulgaria,Games,PC,30326.89537131175,0.006981117401383592
2021-01-01,Bulgaria,Outdoors,Mobile,0.0,0.0
2021-01-01,Bulgaria,Outdoors,PC,0.0,0.0
2021-01-01,Bulgaria,Smartphones,PC,0.0,0.0
2021-01-01,Denmark,Appliances,PC,0.0,0.0
2021-01-01,Denmark,Books,PC,12586.89387612583,0.0028974473909094333
2021-01-01,Denmark,Clothing,PC,10427.490045798764,0.0024003621643494087
2021-01-01,Denmark,Electronics,PC,0.0,0.0
2021-01-01,Denmark,Games,PC,0.0,0.0
2021-01-01,Denmark,Smartphones,PC,0.0,0.0
2021-01-01,Finland,Accessories,PC,0.0,0.0
2021-01-01,Finland,Appliances,Mobile,0.0,0.0
2021-01-01,Finland,Appliances,PC,25661.55318156467,0.005907176229843103
2021-01-01,Finland,Appliances,Tablet,0.0,0.0
2021-01-01,Finland,Beauty,Mobile,0.0,0.0
2021-01-01,Finland,Beauty,PC,32568.297086051498,0.007497078178861087
2021-01-01,Finland,Beauty,Tablet,0.0,0.0
2021-01-01,Finland,Books,PC,0.0,0.0
2021-01-01,Finland,Clothing,Mobile,0.0,0.0
2021-01-01,Finland,Clothing,PC,0.0,0.0
2021-01-01,Finland,Clothing,Tablet,0.0,0.0
2021-01-01,Finland,Electronics,PC,8299.410484569298,0.0019104876462185014
2021-01-01,Finland,Electronics,Tablet,5257.944829198762,0.0012103556824137475
2021-01-01,Finland,Games,Mobile,0.0,0.0
